feature,importance
"Spoken Languages_['Hong Kong', 'Tiếng Trung', 'Tiếng Anh']",0.0
"Spoken Languages_['Hong Kong', 'Tiếng Trung', 'Tiếng Anh', 'Tiếng Đức', 'Tiếng Indonesia', 'Tiếng Ý', 'Tiếng Tây Ban Nha']",0.0
"Production Countries_['United States of America', 'United Kingdom', 'Indonesia', 'Canada', 'China', 'Singapore']",0.0
"Spoken Languages_['Hong Kong', 'Tiếng Nhật', 'Tiếng Trung']",0.0
"Spoken Languages_['Hong Kong', 'Tiếng Hà Lan', 'Tiếng Anh', 'Tiếng Nhật', 'Tiếng Nga', 'Tiếng Tây Ban Nha']",0.0
"Spoken Languages_['Hong Kong', 'Tiếng Anh', 'Tiếng Tây Ban Nha']",0.0
"Spoken Languages_['Hong Kong', 'Tiếng Anh', 'Tiếng Nhật', 'Tiếng Nga']",0.0
"Spoken Languages_['Hong Kong', 'Tiếng Anh', 'Tiếng Nga', 'Tiếng Tây Ban Nha']",0.0
"Spoken Languages_['Hong Kong', 'Tiếng Anh', 'Tiếng Mã Lai', 'Tiếng Lào']",0.0
"Production Countries_['Vietnam', 'United States of America']",0.0
"Production Countries_['Vietnam', 'South Korea']",0.0
"Production Countries_['United States of America', 'United Kingdom']",0.0
"Spoken Languages_['Hong Kong', 'Tiếng Trung', 'Tiếng Anh', 'Tiếng Pháp']",0.0
"Production Countries_['Italy', 'United States of America']",0.0
"Production Countries_['Ireland', 'United States of America']",0.0
"Production Countries_['Indonesia', 'United Kingdom', 'United States of America']",0.0
"Production Countries_['Indonesia', 'Germany', 'United States of America']",0.0
Production Countries_['India'],0.0
"Production Countries_['India', 'United States of America']",0.0
"Production Countries_['India', 'United States of America', 'Germany']",0.0
"Production Countries_['India', 'United Kingdom', 'United States of America']",0.0
Production Countries_['Spain'],0.0
"Production Countries_['Hungary', 'United States of America']",0.0
Production Countries_['Hong Kong'],0.0
"Production Countries_['Hong Kong', 'United States of America']",0.0
"Production Countries_['Hong Kong', 'United Kingdom', 'United States of America']",0.0
"Production Countries_['Hong Kong', 'South Korea']",0.0
"Production Countries_['Hong Kong', 'Japan', 'United States of America']",0.0
"Production Countries_['Hong Kong', 'Iceland', 'United States of America']",0.0
"Production Countries_['Hong Kong', 'China']",0.0
"Production Countries_['Greece', 'United States of America']",0.0
"Production Countries_['Iceland', 'United States of America', 'United Kingdom']",0.0
"Production Countries_['Spain', 'United States of America']",0.0
"Production Countries_['Spain', 'United Kingdom', 'United States of America']",0.0
"Production Countries_['Spain', 'Thailand', 'United States of America']",0.0
"Production Countries_['South Korea', 'Vietnam']",0.0
"Production Countries_['South Korea', 'United States of America']",0.0
"Production Countries_['South Korea', 'Spain', 'United Kingdom', 'United States of America']",0.0
Production Countries_['Russia'],0.0
"Production Countries_['Puerto Rico', 'United States of America']",0.0
"Production Countries_['Puerto Rico', 'United Kingdom', 'United States of America']",0.0
"Production Countries_['Japan', 'United Kingdom', 'United States of America']",0.0
"Production Countries_['Norway', 'United States of America']",0.0
"Production Countries_['New Zealand', 'United States of America']",0.0
"Production Countries_['Morocco', 'United States of America']",0.0
"Production Countries_['Mexico', 'United States of America']",0.0
